Atomic No,Atomic Volume
0,
1,22.4135
2,22.4136
3,13.02
4,4.8767
5,4.3947
6,5.29
7,22.4131
8,22.4134
9,11.202
10,22.42
11,23.75
12,13.984
13,9.99
14,12.054
15,16.991
16,15.53
17,22.4129
18,22.4134
19,45.68
20,25.857
21,15.061
22,10.621
23,8.3374
24,7.2824
25,7.3545
26,7.0923
27,6.62
28,6.5888
29,7.124
30,9.161
31,11.809
32,13.646
33,12.95
34,16.385
35,19.78
36,22.35
37,55.788
38,33.94
39,19.881
40,14.011
41,10.841
42,9.333
43,8.522
44,8.1706
45,8.2655
46,8.8514
47,10.283
48,12.995
49,15.707
50,16.239
51,18.181
52,20.449
53,25.689
54,22.4128
55,70.732
56,38.16
57,22.386
58,20.947
59,20.8
60,20.576
61,20.23
62,19.98
63,28.979
64,19.903
65,19.336
66,19.004
67,18.753
68,18.449
69,19.13
70,24.84
71,17.78
72,13.44
73,10.85
74,9.47
75,8.86
76,8.421
77,8.5203
78,9.09
79,10.21
80,14.09
81,17.24
82,18.27
83,21.31
84,22.97
85,
86,50.5
87,
88,41.09
89,22.5422
90,19.7917
91,15.18
92,12.495
93,11.5892
94,12.29
95,17.63
96,18.05
97,16.84
98,16.5
99,28.52
